State,CID,Year,HHI,American Indian/Alaska Native Students ,Asian or Asian/Pacific Islander Students ,Black or African American Students ,Full-Time Equivalent (FTE) Teachers ,Hispanic Students ,White Students 
Alabama,01001,1986,0.72368911,,,,326.8,,
Alabama,01001,1987,0.72368911,0,0,0,323.5,0,0
Alabama,01001,1988,0.72368911,0,13,2062,338.6,10,4835
Alabama,01001,1989,0.72368911,1,7,2019,337.8,11,4809
Alabama,01001,1990,0.72368911,2,6,2011,347,13,4976
Alabama,01001,1991,0.72368911,4,7,1937,337,17,5172
Alabama,01001,1992,0.72368911,2,10,1906,349,14,5220
Alabama,01001,1993,0.72368911,3,13,1992,369.6,12,5361
Alabama,01001,1994,0.72368911,1,17,1953,377.6,22,5561
Alabama,01001,1995,0.72368911,,13,1918,383.2,29,5856
Alabama,01001,1996,0.744086259,8,18,1959,416.3,46,6054
Alabama,01001,1997,0.744086259,11,28,1909,467.3,57,6161
Alabama,01001,1998,0.744086259,14,26,2012,518.4,64,6344
Alabama,01001,1999,0.744086259,15,38,2040,528.8,62,6708
Alabama,01001,2000,0.744086259,,45,1998,541.3,69,6436
Alabama,01003,1986,0.716435973,,,,800.2,,
Alabama,01003,1987,0.716435973,0,0,0,816.7,0,0
Alabama,01003,1988,0.716435973,23,30,3639,837.9,55,13052
Alabama,01003,1989,0.716435973,23,28,3675,881.7,61,13267
Alabama,01003,1990,0.716435973,21,34,3672,912.6,60,13692
Alabama,01003,1991,0.716435973,29,34,3684,922,78,14158
Alabama,01003,1992,0.716435973,31,41,3780,1003.5,93,14790
Alabama,01003,1993,0.716435973,40,47,3829,1088.9,100,15368
Alabama,01003,1994,0.716435973,36,59,3774,1167.9,94,15998
Alabama,01003,1995,0.716435973,,63,3675,1217.8,107,16762
Alabama,01003,1996,0.740150513,32,52,3810,1293.7,114,17401
Alabama,01003,1997,0.740150513,45,65,3853,1381,141,17667
Alabama,01003,1998,0.740150513,53,69,3907,1468.7,185,17953
Alabama,01003,1999,0.740150513,63,90,3911,1565.3,244,18006
Alabama,01003,2000,0.740150513,,104,3854,1544.4,279,18298
Alabama,01005,1986,0.655691597,,,,278.8,,
Alabama,01005,1987,0.655691597,0,0,0,284.8,0,0
Alabama,01005,1988,0.655691597,0,1,2957,300,2,2078
Alabama,01005,1989,0.655691597,0,2,3009,304.5,2,2105
Alabama,01005,1990,0.655691597,0,24,2961,307.5,25,2143
Alabama,01005,1991,0.655691597,0,3,3022,302,5,2196
Alabama,01005,1992,0.655691597,1,6,3016,309.5,4,2080
Alabama,01005,1993,0.655691597,0,6,3054,324.2,9,2021
Alabama,01005,1994,0.655691597,8,3,3054,325.8,10,1924
Alabama,01005,1995,0.655691597,,11,3080,317.9,8,1933
Alabama,01005,1996,0.647988825,3,16,3189,309.5,13,1875
Alabama,01005,1997,0.647988825,4,19,3169,318.5,10,1818
Alabama,01005,1998,0.647988825,9,13,3096,324.8,16,1761
Alabama,01005,1999,0.647988825,5,15,3086,313,17,1669
Alabama,01005,2000,0.647988825,,14,3019,300,27,1604
Alabama,01007,1986,0.634806816,,,,157,,
Alabama,01007,1987,0.634806816,0,0,0,163,0,0
Alabama,01007,1988,0.634806816,1,12,1065,174,2,2491
Alabama,01007,1989,0.634806816,3,4,1041,176,3,2570
Alabama,01007,1990,0.634806816,2,1,1038,180,5,2606
Alabama,01007,1991,0.634806816,1,3,1025,179,4,2531
Alabama,01007,1992,0.634806816,1,2,1035,181.5,4,2523
Alabama,01007,1993,0.634806816,2,4,1021,186.3,2,2524
Alabama,01007,1994,0.634806816,0,3,1011,196.7,6,2519
Alabama,01007,1995,0.634806816,,2,1043,199.1,3,2607
Alabama,01007,1996,0.634806816,1,4,1038,201.4,11,2663
Alabama,01007,1997,0.634806816,1,2,1055,213.3,13,2689
